Category,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z-score
PromoterFlanking_Hoffman,0.008276913935696063,-0.020605038989837638,0.021984013858299886,-2.4894591329473355,2.656064087302981,0.19257040834259084,-2.971476312292576e-07,1.384012879346785e-07,-2.1470004771162454
PromoterFlanking_Hoffman.flanking.500,0.024887274437739373,0.0110580935491529,0.038728615282922124,0.4443272234095779,1.5561613779688774,0.7204695306101392,-9.571811660052472e-08,7.888274888070108e-08,-1.2134226806077046
Promoter_UCSC,0.04633528479948278,0.06984663905283596,0.02774700381810586,1.5074179290167138,0.5988309759653314,0.39696417985231547,-2.2437347180594756e-08,4.3404020736824156e-08,-0.5169416749807885
Promoter_UCSC.flanking.500,0.010589886966611695,0.022748373990486247,0.025579991646106325,2.148122455150694,2.4155113011834928,0.6344339053655661,2.1173786879070112e-08,1.0578344185006163e-07,0.20016163691366765
Repressed_Hoffman,0.46001809379686065,0.3087673143472606,0.09489129388681272,0.6712068905785458,0.20627730771110878,0.11442485993977487,1.4010226741847984e-08,1.7062466490587365e-08,0.8211138026015657
Repressed_Hoffman.flanking.500,0.25843749512468966,0.2211565586109315,0.11184016440510786,0.8557448620380296,0.43275517877600445,0.7371680398219496,-5.547522638710297e-09,2.631196042511622e-08,-0.21083653779803044
SuperEnhancer_Hnisz,0.1672067462048907,0.36469314450912693,0.04461804610484436,2.1810910910391237,0.26684357609692727,2.2486614287257042e-05,1.2670638910299651e-08,1.2003898137015969e-08,1.055543688031447
SuperEnhancer_Hnisz.flanking.500,0.003173376184060851,0.0027387982233446472,0.019764551799328692,0.8630550128601234,6.22824104453848,0.9824436306718767,-2.863545595410425e-08,2.743094210653206e-07,-0.10439107721088939
TFBS_ENCODE,0.13097151074145144,0.1417654258269755,0.10859746924827769,1.0824142214166874,0.8291686385343607,0.9207918341795465,5.492218083352267e-09,3.4001758162319145e-08,0.16152747328927125
TFBS_ENCODE.flanking.500,0.2100698874161887,0.36150181845289187,0.1386881657902946,1.7208645317959708,0.6602001243306556,0.27816692913967495,2.8284336201142745e-08,2.763697641604203e-08,1.0234236833782204
Transcr_Hoffman,0.345192604324092,0.5669605189099036,0.10168282319294748,1.6424468885132886,0.29456837116208967,0.031842306845798404,2.6658019490629762e-08,2.2383807751991975e-08,1.1909510564956232
Transcr_Hoffman.flanking.500,0.41671057591317395,0.168581602489173,0.10213839213407001,0.40455321326977495,0.24510631128150592,0.017078830256287942,-2.2508552840780176e-08,1.5225838874236345e-08,-1.478312822478827
TSS_Hoffman,0.017806939892057904,0.04752626568991553,0.053967986903304066,2.6689743424760355,3.0307277516769964,0.5811209226711944,1.2762493235624844e-09,1.3106916966445618e-07,0.009737219872756869
TSS_Hoffman.flanking.500,0.016531684526448633,0.06241425575395665,0.04277929983167737,3.775432301173037,2.5877157142235463,0.2831515880180153,1.0764006132543898e-07,1.1945485330281735e-07,0.9010940815654601
UTR_3_UCSC,0.011168130224340602,0.03569852121952257,0.01807742970918855,3.1964635532023724,1.6186621525767437,0.17235889079943129,-9.685376545563257e-08,9.365706332413798e-08,-1.0341319919505816
UTR_3_UCSC.flanking.500,0.015275217453518687,0.0029924684340665794,0.017348071196524723,0.19590349159823295,1.135700440881681,0.47766783509595356,-2.859935358058221e-08,5.02615853159516e-08,-0.5690101774705778
UTR_5_UCSC,0.0054601798073159935,0.019572933530520784,0.030504001840563753,3.5846683115261837,5.58662954646512,0.6435127783424062,-1.802371038266031e-08,2.7517797390877557e-07,-0.06549837592973688
UTR_5_UCSC.flanking.500,0.02138728391576202,0.0017088479064730525,0.036677637955852375,0.07990018336146294,1.7149273418875624,0.5917438332515843,-4.075105371077658e-08,6.721092198373621e-08,-0.6063159455041782
WeakEnhancer_Hoffman,0.020905666163241073,0.051671252223932616,0.04868070261276412,2.471638637126398,2.328588920948166,0.528321795677027,9.668842735666848e-09,9.97639580187659e-08,0.09691719261828115
WeakEnhancer_Hoffman.flanking.500,0.06781869096261314,0.05625780574936014,0.07131742390555953,0.8295324629662013,1.0515895086337652,0.8709964503480333,-3.2934991371546526e-08,4.771259058544944e-08,-0.6902788334781903
GERP.NS,NA,NA,NA,NA,NA,NA,-5.85962422609858e-09,6.2527665073694876e-09,-0.9371250660315635
GERP.RSsup4,0.008149925207497402,0.040553952580347497,0.026588082825894564,4.975990766521452,3.2623713897932776,0.22379062425655033,3.969588880939116e-08,1.7026091434688556e-07,0.23314739593442857
MAFbin1,0.10235727649606394,0.06432928286362645,0.012622219644976188,0.628477867580818,0.12331531354746005,0.002385251701795215,1.800805988955799e-08,7.0847393175417015e-09,2.5418098087208825
MAFbin2,0.0998554140226758,0.07234652615728654,0.016064086911527796,0.7245128054935273,0.16087346959354515,0.08581020924237101,2.142522663285109e-08,6.749314844783311e-09,3.1744298681533727
MAFbin3,0.09960663689728792,0.06302435991809639,0.015000890132931394,0.6327325355145327,0.15060131132024834,0.013931800635301929,1.7877885927443846e-08,7.2923139115557215e-09,2.4516067388588088
MAFbin4,0.10069568686223601,0.05791724725945603,0.014471051935701298,0.5751710829351996,0.14371074260111522,0.0034264198987761464,1.558259643790628e-08,7.362289214903259e-09,2.1165422850222866
MAFbin5,0.09831712255955595,0.08246003308528888,0.019969455709167992,0.838714874261484,0.2031126948113379,0.4298130513217808,2.5608025686138448e-08,8.21112878407499e-09,3.118697362998829
