Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
TSS_Hoffman.flanking.500	0.016531684526448633	0.0673749231483015	0.042652767424963295	4.075502592643238	2.58006178116478	0.23281957879553977	1.242649854026768e-07	1.1890510653253609e-07	1.0450769443503596
UTR_3_UCSC	0.011168130224340602	0.03725940011454317	0.018288120475503357	3.3362254348841165	1.6375275098104562	0.15114670345587855	-9.664794548752599e-08	9.538427733080836e-08	-1.0132481808541152
UTR_3_UCSC.flanking.500	0.015275217453518687	0.0014451996539453517	0.017376912534625533	0.09461074176802937	1.1375885539765402	0.4247583048797773	-3.130528618156401e-08	5.0232222004078167e-08	-0.6232112562932702
UTR_5_UCSC	0.0054601798073159935	0.020033536055660797	0.030669734966577898	3.6690249703532167	5.616982599269733	0.634581090031173	-1.5952475762673805e-08	2.7617237937901497e-07	-0.05776274875330983
UTR_5_UCSC.flanking.500	0.02138728391576202	-0.0020814983821486888	0.036774792523742175	-0.09732411045493553	1.719469974242024	0.523647140096764	-4.5957079231041234e-08	6.707402571296449e-08	-0.6851695383203809
WeakEnhancer_Hoffman	0.020905666163241073	0.05954470867018537	0.04901818389136592	2.848256936910446	2.344731974030837	0.43229174037399287	1.5286340109390716e-08	1.0028566085863394e-07	0.15242797403448194
WeakEnhancer_Hoffman.flanking.500	0.06781869096261314	0.05355288788171524	0.07189028669401976	0.7896479144847797	1.0600364836539118	0.8424149153746854	-3.664424152744672e-08	4.792823516547697e-08	-0.7645647998706578
GERP.NS	NA	NA	NA	NA	NA	NA	-5.443785726439929e-09	6.310380659556034e-09	-0.8626715280949352
GERP.RSsup4	0.008149925207497402	0.036082767781807884	0.026874315618104352	4.427374100146843	3.297492300098868	0.29915525586046293	1.4763965065108421e-08	1.7268546984331688e-07	0.0854962787460013
MAFbin1	0.10235727649606394	0.06427522274685248	0.012713196739525685	0.6279497163968027	0.1242041325710201	0.0025165372557108697	1.8064808582039952e-08	7.1300057362008284e-09	2.533631703873727
MAFbin2	0.0998554140226758	0.07146562169506464	0.01604776509406007	0.7156910057859834	0.1607100150865715	0.0760491108591459	2.0984787005152353e-08	6.7357124515672195e-09	3.1154517292776887
MAFbin3	0.09960663689728792	0.062626930737994	0.015058492094244553	0.6287425485770938	0.15117960573021377	0.013306907630850648	1.765001323673877e-08	7.325961842910876e-09	2.409241764454204
MAFbin4	0.10069568686223601	0.05815683559377231	0.014648033354431617	0.5775504135876044	0.14546832948735844	0.004027205040003979	1.5600368629634072e-08	7.433288038370552e-09	2.0987170884681365
MAFbin5	0.09831712255955595	0.0812461713918829	0.02004004598927992	0.8263684826889409	0.20383068043046715	0.39719681241797933	2.5043971441030077e-08	8.250763787545219e-09	3.035351888128796
MAFbin6	0.09964220045128808	0.13313579218026497	0.017921260784927937	1.3361386197542964	0.179856132278904	0.060868015536756415	4.5608847652420354e-08	9.058198054932822e-09	5.035090574949743
MAFbin7	0.0997337933780998	0.12275102769702315	0.02164503897123861	1.2307867127009091	0.21702813297374857	0.2850332010950318	4.179704421102885e-08	1.175929333615713e-08	3.5543840106881697
MAFbin8	0.10022933459751703	0.11767234465569822	0.022014584699407102	1.1740309873174923	0.21964213159559845	0.4277471577342251	3.913065784062348e-08	9.927552389547719e-09	3.9416218928063698
MAFbin9	0.10109997066006796	0.12633380928798155	0.039122102310071113	1.2495929372003305	0.3869645268405938	0.5182425937603732	4.165631400816108e-08	1.3026842651764797e-08	3.197729113778598
MAFbin10	0.09846256407520752	0.1623362440134722	0.04562521452484423	1.6487103046542315	0.4633762583106697	0.16302422520380636	5.7477553868161304e-08	2.537111318561622e-08	2.265472289199646
MAF_Adj_Predicted_Allele_Age	NA	NA	NA	NA	NA	NA	-7.554728157491598e-09	4.430716144478544e-09	-1.705080603483508
MAF_Adj_LLD_AFR	NA	NA	NA	NA	NA	NA	-7.2004206707265455e-09	3.0029917350435144e-09	-2.397749080259193
Recomb_Rate_10kb	NA	NA	NA	NA	NA	NA	-3.0943818667836795e-09	1.971256089485356e-09	-1.5697513292611018
Nucleotide_Diversity_10kb	NA	NA	NA	NA	NA	NA	-5.639574779600589e-10	1.1161126068036354e-09	-0.5052872573271449
Backgrd_Selection_Stat	NA	NA	NA	NA	NA	NA	-1.5288680738582984e-08	1.414129162576177e-08	-1.0811375044929394
CpG_Content_50kb	NA	NA	NA	NA	NA	NA	8.316769209218933e-07	6.638210582169036e-07	1.2528631181961432
MAF_Adj_ASMC	NA	NA	NA	NA	NA	NA	-7.3505238332135635e-09	3.559616880277657e-09	-2.064976114126138
GTEx_eQTL_MaxCPP	NA	NA	NA	NA	NA	NA	1.9856770086497944e-07	9.182076876203998e-08	2.1625575949988143
BLUEPRINT_H3K27acQTL_MaxCPP	NA	NA	NA	NA	NA	NA	-3.427314657038988e-08	1.0769501012712072e-07	-0.31824266073177065
BLUEPRINT_H3K4me1QTL_MaxCPP	NA	NA	NA	NA	NA	NA	4.7873900477945775e-08	1.2505516708453254e-07	0.38282225032400974
BLUEPRINT_DNA_methylation_MaxCPP	NA	NA	NA	NA	NA	NA	1.3810852127602942e-07	7.870573543328767e-08	1.7547453246668736
synonymous	0.0031200308530606215	-0.0026070326904137054	0.021484160700339195	-0.835579137897407	6.885880849307666	0.7900043416951231	-3.7414793782028627e-07	3.1092223020377243e-07	-1.2033489454101656
non_synonymous	0.002715411550002273	0.02491961527738997	0.01158773415163704	9.177104397810016	4.267395176847996	0.05888889376728161	7.90079687360819e-08	2.087655014569868e-07	0.37845318400157407
Conserved_Vertebrate_phastCons46way	0.029436054297494834	0.08349063110986607	0.05592622631106989	2.8363390781274505	1.899922650836716	0.3326143848064683	-5.844218546232644e-08	7.635985092394647e-08	-0.7653522728918655
Conserved_Vertebrate_phastCons46way.flanking.500	0.3775344693875805	0.5626280106036804	0.08213152892192832	1.490269250159728	0.21754709988510032	0.025791553726823048	-5.2367570980778164e-08	2.809097714826413e-08	-1.8642132206502542
